Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,अंग्रेजी (Honey Suckle),1,Who Did Patrick’s Homework,1,Introduction,507,www.youtube.com/embed/7xuungEzCbU
Class 6,अंग्रेजी (Honey Suckle),1,Who Did Patrick’s Homework,2,Patrick And Elf,396,www.youtube.com/embed/L3X_qEFuTP4
Class 6,अंग्रेजी (Honey Suckle),1,Who Did Patrick’s Homework,3,Result Of Patrick's Hard Work,375,www.youtube.com/embed/Qsq6RQqUUTs
Class 6,अंग्रेजी (Honey Suckle),1,Who Did Patrick’s Homework,4,Questions & Answers,366,www.youtube.com/embed/rJI7bc_X7jM
Class 6,अंग्रेजी (Honey Suckle),2,How The Dog Found Himself A New Master,1,Introduction,371,www.youtube.com/embed/SS9ZuBj6jLs
Class 6,अंग्रेजी (Honey Suckle),2,How The Dog Found Himself A New Master,2,Dog Chose Bear His Master,355,www.youtube.com/embed/-14yzmTYAm8
Class 6,अंग्रेजी (Honey Suckle),2,How The Dog Found Himself A New Master,3,How The Dog Became A Tame Animal ?,341,www.youtube.com/embed/mDH76xOXPqU
Class 6,अंग्रेजी (Honey Suckle),2,How The Dog Found Himself A New Master,4,Questions and answers,206,www.youtube.com/embed/PDH35B0EvHI
Class 6,अंग्रेजी (Honey Suckle),3,Taros Reward,1,Introduction,608,www.youtube.com/embed/3WwEdTYyOJA
Class 6,अंग्रेजी (Honey Suckle),3,Taros Reward,2,A Thoughtful Son Taro,573,www.youtube.com/embed/Rv3WVFtVAW8
Class 6,अंग्रेजी (Honey Suckle),3,Taros Reward,3,Reward For Taro's Honesty,529,www.youtube.com/embed/-tpyiVit0xs
Class 6,अंग्रेजी (Honey Suckle),4,An Indian American Woman in Space : Kalpana Chawla,1,Introduction,512,www.youtube.com/embed/kJFuSqwW6-s
Class 6,अंग्रेजी (Honey Suckle),4,An Indian American Woman in Space : Kalpana Chawla,2,Kalapana Chawla's Life and Family,588,www.youtube.com/embed/iLKsDCShi9A
Class 6,अंग्रेजी (Honey Suckle),4,An Indian American Woman in Space : Kalpana Chawla,3,Kalmana's Achievement,569,www.youtube.com/embed/GzkDKV_OTCo
Class 6,अंग्रेजी (Honey Suckle),4,An Indian American Woman in Space : Kalpana Chawla,4,Questions & Answers,382,www.youtube.com/embed/kMN-mSEJOZE
Class 6,अंग्रेजी (Honey Suckle),5,A Different Kind of School,1,Introduction,436,www.youtube.com/embed/r4GejhrheVc
Class 6,अंग्रेजी (Honey Suckle),5,A Different Kind of School,2,To Make Children Appreciate & Understand Misfortune,1217,www.youtube.com/embed/W27CMUs864w
Class 6,अंग्रेजी (Honey Suckle),5,A Different Kind of School,3,Working With The Text,332,www.youtube.com/embed/W4Pl-vXWQcs
Class 6,अंग्रेजी (Honey Suckle),6,Who I Am,1,Many Voices (Radha & Nasir),425,www.youtube.com/embed/cZnhg4ZYcJw
Class 6,अंग्रेजी (Honey Suckle),6,Who I Am,2,Many Voices (Rohit & sarabjit),386,www.youtube.com/embed/ijkD6i0_C0o
Class 6,अंग्रेजी (Honey Suckle),6,Who I Am,3,Many Voices (Dolma & Peter),318,www.youtube.com/embed/sLGsB-_OEbY
Class 6,अंग्रेजी (Honey Suckle),6,Who I Am,4,Working With The Text,516,www.youtube.com/embed/q8pX_eUuLt4
Class 6,अंग्रेजी (Honey Suckle),7,Fair Play,1,Friendship Of Jumman Shaikh And Algu Choudhary,925,www.youtube.com/embed/U-we4ZQ43PA
Class 6,अंग्रेजी (Honey Suckle),7,Fair Play,2,Decision Of The Panchayat,767,www.youtube.com/embed/TGZP_9co7mo
Class 6,अंग्रेजी (Honey Suckle),7,Fair Play,3,Jumman's Strange Revenge,915,www.youtube.com/embed/Cfy5w4s8qCo
Class 6,अंग्रेजी (Honey Suckle),7,Fair Play,4,Working With The Text,1371,www.youtube.com/embed/9RpAS0fDgNo
Class 6,अंग्रेजी (Honey Suckle),7,Fair Play,5,Working With The Language,595,www.youtube.com/embed/EYzRbDyWi88
Class 6,अंग्रेजी (Honey Suckle),8,A Game of Chance,1,Eid Fair,798,www.youtube.com/embed/WBfPXyOIPJo
